Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
EQT,Scrypt,PoW,13673406.4325268,72000000.0
QTUM,POS 3.0,PoS,100000000.0,100000000.0
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0
ESP,536,PoW/PoS,22801882871.0,50000000000.0
DYN,Argon2d,PoW,19784224.6512734,0.0
NANO,Blake2b,PoW,133248297.0,340282367.0
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0
DCY,CryptoNight,PoW,1809467143.0,2000000000.0
DNR,NIST5,PoW/PoS,4171382.0,10000000.0
DP,X11,PoW,35138975.0,100000000.0
VUC,NIST5,PoW/PoS,62942075.0,120000000.0
BTPL,Skein,PoW/PoS,6804362.0,100000000.0
UNIFY,Scrypt,PoW,18133195.0,19276800.0
BRIT,X13,PoW/PoS,21268092.0,30000000.0
SOCC,Scrypt,PoW,5167775.0,75000000.0
ARC,X11,PoW,26042364.3735553,60000000.0
DAS,X11,PoW,2622886.0,18900000.0
LINDA,Scrypt,PoW/PoS,9044930943.24243,50000000000.0
XLC,CryptoNight,PoW,14161803.0,54000000.0
ONION,X13,PoW/PoS,21917018.0492836,18898187.6216583
BTX,Time Travel,PoW,17801865.1605478,21000000.0
GCN,Scrypt,PoW,163055097500.0,200000000000.0
SMART,Keccak,PoW,2241009149.22257,5000000000.0
SIGT,SkunkHash v2 Raptor,PoS,107972766.0,137500000.0
ONX,X11,PoW,122475638.389743,1100000000.0
CRM,Skein,PoW/PoS,47331802.4774238,100000000.0
BCH,SHA-256,PoW,17995589.6469082,21000000.0
XMCC,X11,PoW/PoS,12569262.5359307,9507271.0
DFT,Scrypt,PoS,18663297.3489799,17405891.19707116
VET,VeChainThor Authority,Proof of Authority,55454734800.0,86712634466.0
SOJ,Scrypt,PoW,485214.0,10500000000.0
STCN,PoS,PoS,4000000.0,61599965.0
NYC,Scrypt,PoW,143006669741.687,0.0
FRAZ,Scrypt,PoW,9704042.0,20000000.0
KRONE,Scrypt,PoW,17453749.4042601,84000000.0
ACC,Scrypt,PoW,32646731.063036,100000000.0
LINX,Scrypt,PoW,33716526.0,100000000.0
XCXT,Scrypt,PoW/PoS,19539588.0,48252000.0
ETHD,Scrypt,PoW/PoS,4200000.0,4200000.0
SUMO,CryptoNight,PoW,8946653.0,88888888.0
ODN,SHA-512,PoS,25000000.0,91388946.0
ADA,Ouroboros,PoS,25927070538.0,45000000000.0
REC,X11,PoW/PoS,7262402.04264803,27000000.0
BTCZ,Equihash,PoW,5211553258.01514,21000000000.0
TZC,NeoScrypt,PoW/PoS,182638400.0,400000000.0
ELM,X11,PoW,2702855668.85288,1800000000.0
TER,Scrypt,PoW/PoS,1140734.91680375,15733333.0
VIVO,NeoScrypt,PoW,4165967.57499639,27000000.0
RUP,Lyra2REv2,PoS,24000000.0,24000000.0
BTG,Equihash,PoW,17202361.088994,21000000.0
WOMEN,Scrypt,PoW/PoS,48459472454.0,25000000000.0
MAY,SHA-256,PoW/PoS,92050800.0,100000000.0
NAMO,NIST5,PoW/PoS,560563220.0,1200000000.0
LUX,PHI1612,PoW/PoS,8305775.31777569,60000000.0
PIRL,Dagger,PoW,33986980.0,156306732.71
XIOS,Scrypt,PoW/PoS,2149688.0,21000000.0
BTDX,Quark,PoW/PoS,30711550.5294042,200000000.0
EBST,Scrypt,PoW,99990001.493466,100000000.0
KEK,POS 2.0,PoS,12330806.30517,21000000.0
BLHC,Scrypt,PoW/PoS,16362544.992,14788275.991
XIN,SHA-256,PoS,8999999990.0,9000000000.0
PURA,X11,PoW,175215859.0,350000000.0
INN,NeoScrypt,PoW,6375259.04,45000000.0
ELLA,Ethash,PoW,12756367.0,280000000.0
GBX,NeoScrypt,PoW,5832306.875,31800000.0
MAG,X11,PoW/PoS,38198594.8342105,144000000.0
TAU,DPoS,DPoS,288090567.493887,500000000.0
ECA,NIST5,PoW/PoS,28399150208.0,30000000000.0
BCD,X13,PoW/PoS,183534024.889807,210000000.0
XSH,Multiple,PoW,481730566.566176,660000000.0
CNBC,Scrypt,PoW/PoS,110976977.29338,210000000.0
XUN,CryptoNight,PoW,19281821413.4924,85000000000.0
COAL,CryptoNight,PoW,4500000.0,12500000.0
DAXX,Ethash,PoW,520891780.0,10000000000.0
BWK,NIST5,PoS,13247178.8807286,27716121.0
KLKS,Quark,PoS,16955764.902064,20000000.0
AC3,X11,PoW,80316207.0,550000000.0
LTHN,CryptoNight-V7,PoW,441250233.377,999481516.0
GER,Scrypt,PoW/PoS,4911500269.41,50000000000.0
LTCU,Scrypt,PoW/PoS,8419402.321,150000000.0
POP,Scrypt,PoW,3964201248.87125,4999999999.0
PNX,X11,PoW/PoS,45174214.1078625,50000000.0
PHO,BLAKE256,PoW,30089671530.5228,90000000000.0
SUCR,X11,PoW,4229040.50393462,19800000.0
SPK,NeoScrypt,PoW,7847417.33355824,21000000.0
WAGE,Quark,PoS,27299680.0,120000000.0
GUN,NeoScrypt,PoW,299797953.0,500000000.0
IRL,Scrypt,PoW,45483049.3398182,64000000.0
TROLL,Scrypt,PoW/PoS,591022748.0,900000000.0
LCP,Scrypt,PoW/PoS,2504486.227718,4000000.0
MONK,X11,PoS,4407252.0,21000000.0
PCOIN,X11,PoW,8478104.33969947,23000000.0
UBTC,SHA-256,PoW,20166000.0,20166000.0
ITZ,C11,PoW,11916588.09471,23000000.0
TPAY,POS 3.0,PoS,20445861.5344251,25000000.0
MCT,Ethash,PoS,1618033.0,1618033.0
MBC,Scrypt,PoW and PoS,9399342.52839847,30000000.0
TRTL,CryptoNight,PoW,53139835213.77,1000000000000.0
MUN,SkunkHash,PoW,4818338.98949984,16600000.0
USX,Scrypt,PoW/PoS,234846265.782157,232000000.0
NBR,CryptoNight,PoW,133932467.774108,336000000.0
SSS,Scrypt,PoW,10000000000.0,10000000000.0
TRF,Dagger,PoW,107325266.027783,100000000.0
KREDS,Lyra2REv2,PoW,643795911.540095,1100000000.0
TOKC,X13,PoS,230298925.0,800000000.0
BBP,Proof-of-BibleHash,POBh,1772091549.88818,5200000000.0
LCC,SHA-256 + Hive,PoW + Hive,638382332.208514,840000000.0
FLIP,Scrypt,PoW,12446100.00278,40000000.0
LOT,Scrypt,PoW,14491014421.0,18406979840.0
CIF,X11,PoW,211297638.500483,500000000.0
SPD,C11,PoW/PoS,11251342.1879021,19340594.0
POA,Proof-of-Authority,PoA,204479039.0,252460800.0
PUSHI,X11,PoW/PoS,2167827.1,25000000.0
ELP,XEVAN,PoW/PoS,419275.38,60000000.0
VLX,Scrypt,PoS,25570013.1348022,124000000.0
ONT,VBFT,PoS,650848625.0,1000000000.0
CLO,Ethash,PoW,247612453.0,6500000000.0
TUBE,CryptoNight,PoW,80049082.9057215,1000000000.0
PSD,Scrypt,PoW,4070212.1493016,21000000.0
ADK,IMesh,PoW,25000000.0,25000000.0
BSX,NIST5,PoW/PoS,13787854.6277781,50000000.0
BRIA,Scrypt,PoW/PoS,845637.81347436,3000000.0
IC,Scrypt,PoW/PoS,1182153.5,5000000.0
BTL,Equihash,PoW,71355477.0,70000000.0
MEDIC,Scrypt,PoS,267297676.3125,500000000.0
ALPS,Lyra2Z,PoW,27340501.6514783,300000000.0
BITG,Green Protocol,PoS,9803691.3618195,21000000.0
DEV,PoS,PoS,21876586.8530324,88000000.0
ABJ,Scrypt,PoW/PoS,9880502.37178894,30000000.0
SEM,Semux BFT consensus,DPoS,1231147.0,100000000.0
FTO,X11,PoW,31801461.1867843,100000000.0
CARE,Quark,PoW/PoS,139739596.506702,200000000.0
NZL,PoS,PoS,11075254.0929996,80000000.0
XMC,CryptoNight,PoW,16016864.0,18400000.0
PROTON,X16R,PoS,4403800.0,45000000.0
DEAL,Scrypt,PoW/PoS,1404157529.46026,5121951220.0
JUMP,NIST5,PoW,21069346.2522598,21000000.0
INFX,Lyra2RE,PoW,5097689.71077377,26280000.0
XBI,XEVAN,PoS/PoW,10904963.0923455,21000000.0
KEC,Tribus,PoW,795447.0,18000000.0
HWC,Scrypt,PoS,38706809.466535,26000000.0
GIN,Lyra2Z,PoW,6986399.70430446,10500000.0
PLTC,CryptoNight,PoW,84300.0,600000518.0
LOKI,CryptoNight Heavy,PoW,19153632.0,150000000.0
NCP,CryptoNight,PoW,41294520017.0,184000000000.0
SIC,Scrypt,PoW/PoS,10200000000.0,10200000000.0
XT3,Scrypt,PoS,7630000.0154,44000000.0
MGD,Jump Consistent Hash,PoW,135862416.039898,168000000.0
VIG,SHA-256D,PoW/PoS,33238183.7225834,100000000.0
PLURA,CryptoNight,PoW,560085952.404637,1000000000.0
EMAR,Scrypt,PoW/PoS,21599339.6728,84000000.0
DKD,X15,PoS,30284196.369129,90000000.0
LYNX,Scrypt,HPoW,77872059787.8998,92000000000.0
POSQ,Quark,PoS,2716264.95302831,650000000.0
BWS,SHA-256,PoS,57811001.000889,100262205.0
MUSE,DPoS,PoS,18194936.0,18081806.0
XMN,X16R,PoW,8125865.02097646,22075700.0
PLUS1,HMQ1725,PoW,8645406.16776286,21000000.0
AXE,X11,PoW,4993030.69736615,21000000.0
TRVC,X16R,PoW/PoS,36923120.6205934,82546564.0
DTEM,Quark,PoS,7082392.24744494,21000000.0
GIC,Quark,PoW/PoS,5919489.76813523,5151000.0
PNY,Scrypt,PoS,1042012.45227735,16880000000.0
ABS,Lyra2REv2,PoW/PoS,13332617.9413708,52500000.0
VITAE,Quark,PoS,66053877.6256106,100000000.0
HEX,Scrypt,PoW,1416663.06600024,22105263.0
TPC,Scrypt,PoW/PoS,5403802.49590733,1000000000.0
WEBC,CryptoNight-V7,PoW,15580199.3087496,1750000000.0
RYO,Cryptonight-GPU,PoW,4890897.0,88188888.0
URALS,XEVAN,PoW,14746153.0962884,210000000.0
QWC,CryptoNight Heavy,PoW,99553110528.8022,184470000000.0
ARE,X11,PoS,19269509.94,55000000.0
EUNO,X11,PoW/PoS,30771125.9760867,50000000.0
MMO,Scrypt,PoS,107763867.917675,260000000.0
KETAN,PoS,PoS,9327131.59708692,210000000.0
PPAI,SHA-256,PoW,2100000000.0,2100000000.0
XDNA,Keccak,PoW/PoS,4672513.84432375,366000000.0
PAXEX,X11,PoS,4504639.0,100000000.0
AZART,X11,PoW,5015881.37315389,25000000.0
TSC,Scrypt,PoW/PoS,1059954080.43439,18000000000.0
KCASH,SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000.0
XCG,X16R,PoW,9753753.61515394,100000000.0
AAC,ECC 256K1,DPOS,1000000000.0,1000000000.0
CRYP,Equihash,PoW,4235111504.0,7600000000.0
BTXC,XEVAN,PoS,6787405.18013774,50000000.0
ACM,Lyra2Z,PoW,13634850.0,84000000.0
BSV,SHA-256,PoW,17992514.6469233,21000000.0
BITM,XEVAN,Pos,208515864.367343,70000000000.0
JMC,X11,PoS,17209923728.3266,0.0
FRED,CryptoNight,PoW,1867054873.28397,8080000000.0
HERB,Quark,PoW/PoS,35312185.7437239,54000000.0
UMO,Blake,PoW,1578281.31341127,105120001.44
LIT,Blake,PoW,15846721.2482747,25228800.0
PIRATE,Equihash,PoS,13475920.0,105000000.0
EXO,Exosis,PoW,406091.925,21000000.0
BLTG,Scrypt,PoW,35284717.173946,120000000.0
OWC,Scrypt,PoW/PoS,14777549.3940764,21000000.0
BEAM,Equihash,PoW,35687520.0,262800000.0
GALI,Quark,PoW/PoS,18265011.2486006,19035999.0
BTH,Equihash,PoW,25150787.5,30886000.0
CSPN,Quark,PoS,1934701.67524713,13370000.0
CREDIT,Scrypt,PoW/PoS,30825710000.0296,74800000000.0
SLC,QuBit,PoW,12925790.4226959,100000000.0
DASHP,X11,PoS,715659.44237941,19700000.0
NSD,Scrypt,PoW/PoS,20546528.2059957,84000000.0
BEET,XEVAN,PoW/PoS,198938144.363399,500000000.0
TTN,SHA-256D,PoW/PoS,896361168.0,5000000000.0
AWR,X11,PoW/PoS,15420234.5389336,420000000.0
BLAST,SHA-256,PoW,52293836.6277958,64000000.0
XRC,X13,PoW,1170292.5,2100000.0
GLT,SHA-256,PoW,84613099.9999955,168000000.0
INSN,X11,PoW/PoS,23775960.3207514,30000000.0
ALX,DPoS,DPoS,1000000000.0,1000000000.0
LDOGE,Scrypt,PoW/PoS,15318887081.0146,35000000000.0
SLR,Scrypt,PoW,55565076.3863525,98100000000.0
TRK,X11,PoW/PoS,242574105.22384,0.0
UFO,NeoScrypt,PoW,3824685012.0,4000000000.0
OC,Scrypt,PoW/PoS,3537150.0,200000000.0
BLC,Blake,PoW,23356790.1494191,7000000000.0
BITS,Scrypt,PoW/PoS,20576532.0,54256119.0
NEOS,SHA-256,PoS,4392258.24647793,21000000.0
HYPER,Scrypt,PoW/PoS,9631199.99309942,0.0
PINK,X11,PoW/PoS,436353624.490312,500000000.0
CESC,Scrypt,PoW,780210700.0,1000000000.0
ADC,Scrypt,PoW/PoS,980732528.97974,10500000000.0
NKA,SHA-256,PoW/PoS,17939725045.334,190000000.0
PIGGY,X11,PoW/PoS,494240666.028571,1000000000.0
CRW,SHA-256,PoW,22986929.0854247,42000000.0
GEN,Scrypt,PoW/PoS,60000000.0,15000000.0
SMLY,Scrypt,PoW,29583989322.9213,50000000000.0
MI,Scrypt,PoW/PoS,404316475.545465,400000000.0
GRS,Groestl,PoW,73298203.8873662,105000000.0
CPC,X11,PoW/PoS,201364327.427503,208000000.0
CLUB,Scrypt,PoW/PoS,103621876.167052,160000000.0
RADS,PoS,PoS,3821245.74150193,9000000.0
BTA,Scrypt,PoW,5052555.91981545,5000000.0
PAK,Scrypt,PoW,69684455.4387001,182000000.0
CRB,X11,Proof of Trust,16901016.6609755,16504333.0
OK,SHA-256,PoW/PoS,74676064.9488608,105000000.0
LSK,DPoS,DPoS,120012140.0,159918400.0
XHI,Scrypt,PoS,10000244677.7002,10008835635.0
XWC,Scrypt,PoW/PoS,252005564.19257,300000000.0
FSC,NeoScrypt,PoW/PoS,1120385.00502,60168145.0
J,Multiple,PoW,3332922.5,2800000.0
TRI,X13,PoW/PoS,140777.753365,120000.0
VOLLAR,Equihash+Scrypt,PoW,100000000.0,2100000000.0
EOS,DPoS,DPoS,1020544523.0722,0.0
RCC,Ethash,PoW,24487944.0958204,24487944.0
OXY,DPoS,DPoS,1122382283.37,0.0
TCH,SHA-256,PoS,1000000000.0,1000000000.0
WAVES,Leased POS,LPoS,100000000.0,100000000.0
PART,PoS,PoS,9283137.5558676,8634140.0
BTT,TRC10,DPoS,989988713439.649,990000000000.0
NXT,PoS,PoS/LPoS,1000000000.0,1000000000.0
ZEPH,SHA-256,DPoS,1999999995.3056,2000000000.0
GAP,Scrypt,PoW/PoS,14931046.1546605,250000000.0
BDX,CryptoNight,PoW,980222595.0,1400222610.0
ZEN,Equihash,PoW,7296537.5,21000000.0
XBC,Scrypt,PoS,128326.99633965,1000000.0
